powo_id,family,genus,species,taxon_name,taxon_authors,Threat.status,EDGE,EDGE_rank,ED,ED_rank,lifeform_description,accepted_plant_name_id
60468511-2,Pinaceae,Abies,alba,Abies alba,Mill.,LC,-7.86,834,7.75,420,tree,381621
325658-2,Pinaceae,Abies,amabilis,Abies amabilis,Douglas ex J.Forbes,LC,-8.14,913,5.85,656,tree,381632
1084057-2,Pinaceae,Abies,balsamea,Abies balsamea,(L.) Mill.,LC,-8.63,1060,3.57,1024,tree,381647
676549-1,Pinaceae,Abies,beshanzuensis,Abies beshanzuensis,M.H.Wu,CR,1.65,158,5.36,744,tree,381658
1146685-2,Pinaceae,Abies,bracteata,Abies bracteata,(D.Don) Poit.,NT,-3.06,549,11.68,238,tree,381668
261486-1,Pinaceae,Abies,cephalonica,Abies cephalonica,Loudon,LC,-7.91,846,7.36,463,tree,381681
676557-1,Pinaceae,Abies,chensiensis,Abies chensiensis,Tiegh.,LC,-8.51,1021,4.03,954,tree,381689
261491-1,Pinaceae,Abies,cilicica,Abies cilicica,(Antoine & Kotschy) Carrière,NT,-3.89,637,5.09,771,tree,381699
1031026-2,Pinaceae,Abies,concolor,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,LC,-8.18,927,5.58,695,tree,381713
261505-1,Pinaceae,Abies,delavayi,Abies delavayi,Franch.,LC,-8.62,1058,3.63,1015,tree,381727
261506-1,Pinaceae,Abies,densa,Abies densa,Griff.,LC,-8.08,899,6.22,605,tree,381736
676563-1,Pinaceae,Abies,durangensis,Abies durangensis,Martínez,LC,-8.33,966,4.83,816,tree,381744
77261659-1,Pinaceae,Abies,delavayi,Abies delavayi var. fabri,(Mast.) D.R.Hunt,VU,-1.66,500,3.81,995,tree,381729
903410-1,Pinaceae,Abies,fanjingshanensis,Abies fanjingshanensis,"W.L.Huang, Y.L.Tu & S.Z.Fang",EN,0.84,308,5.54,705,tree,381770
261522-1,Pinaceae,Abies,fargesii,Abies fargesii,Franch.,LC,-8.43,1000,4.35,911,tree,381772
261525-1,Pinaceae,Abies,firma,Abies firma,Siebold & Zucc.,LC,-8.63,1059,3.58,1020,tree,381782
271462-2,Pinaceae,Abies,flinckii,Abies flinckii,Rushforth,NE,1.56,188,4.9,805,tree,381783
676570-1,Pinaceae,Abies,forrestii,Abies forrestii,Coltm.-Rog.,LC,-8.47,1016,4.18,935,tree,381784
1030488-2,Pinaceae,Abies,fraseri,Abies fraseri,(Pursh) Poir.,EN,0.62,338,4.44,899,tree,381792
1033427-2,Pinaceae,Abies,grandis,Abies grandis,(Douglas ex D.Don) Lindl.,LC,-8.28,952,5.06,778,tree,381804
676575-1,Pinaceae,Abies,guatemalensis,Abies guatemalensis,Rehder,EN,0.63,334,4.46,890,tree,381810
676576-1,Pinaceae,Abies,hickelii,Abies hickelii,Flous & Gaussen,EN,0.63,335,4.46,891,tree,381821
301448-2,Pinaceae,Abies,hidalgensis,Abies hidalgensis,"Debreczy, I.Rácz & Guízar",VU,-1.33,467,5.31,750,tree,381823
261545-1,Pinaceae,Abies,holophylla,Abies holophylla,Maxim.,NT,-3.98,644,4.69,848,tree,381827
261546-1,Pinaceae,Abies,homolepis,Abies homolepis,Siebold & Zucc.,NT,-3.84,635,5.36,745,tree,381829
77143585-1,Pinaceae,Abies,jaliscana,Abies jaliscana,"(Martínez) Mantilla, Shalisko & A.Vázquez",NE,1.65,159,5.34,746,tree,487922
676581-1,Pinaceae,Abies,kawakamii,Abies kawakamii,(Hayata) Ito,NT,-4.24,665,3.58,1019,tree,381842
