"powo_id","family","genus","species","taxon_name","taxon_authors","RL.cat","EDGE","ED","lifeform_description","accepted_plant_name_id","group","plant_locality_id","continent_code_l1","continent","region_code_l2","region","area_code_l3","area","introduced","extinct","location_doubtful"
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",536028,1,"EUROPE",11,"Middle Europe","AUT","Austria",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",536029,1,"EUROPE",11,"Middle Europe","CZE","Czechoslovakia",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",540828,1,"EUROPE",11,"Middle Europe","GER","Germany",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",540829,1,"EUROPE",11,"Middle Europe","HUN","Hungary",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",540830,1,"EUROPE",11,"Middle Europe","POL","Poland",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",536030,1,"EUROPE",11,"Middle Europe","SWI","Switzerland",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",540831,1,"EUROPE",12,"Southwestern Europe","COR","Corse",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",536031,1,"EUROPE",12,"Southwestern Europe","FRA","France",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",540832,1,"EUROPE",12,"Southwestern Europe","SPA","Spain",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",540833,1,"EUROPE",13,"Southeastern Europe","ALB","Albania",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",536032,1,"EUROPE",13,"Southeastern Europe","BUL","Bulgaria",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",536033,1,"EUROPE",13,"Southeastern Europe","GRC","Greece",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",536034,1,"EUROPE",13,"Southeastern Europe","ITA","Italy",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",536035,1,"EUROPE",13,"Southeastern Europe","ROM","Romania",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",540834,1,"EUROPE",13,"Southeastern Europe","TUE","Turkey-in-Europe",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",536036,1,"EUROPE",13,"Southeastern Europe","YUG","Yugoslavia",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",836910,1,"EUROPE",14,"Eastern Europe","BLR","Belarus",0,0,0
"60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms",536037,1,"EUROPE",14,"Eastern Europe","UKR","Ukraine",0,0,0
"325658-2","Pinaceae","Abies","amabilis","Abies amabilis","Douglas ex J.Forbes","LC",0.090712594,1.455919453,"tree",381632,"Gymnosperms",540835,7,"NORTHERN AMERICA",70,"Subarctic America","ASK","Alaska",0,0,0
"325658-2","Pinaceae","Abies","amabilis","Abies amabilis","Douglas ex J.Forbes","LC",0.090712594,1.455919453,"tree",381632,"Gymnosperms",536038,7,"NORTHERN AMERICA",71,"Western Canada","BRC","British Columbia",0,0,0
"325658-2","Pinaceae","Abies","amabilis","Abies amabilis","Douglas ex J.Forbes","LC",0.090712594,1.455919453,"tree",381632,"Gymnosperms",536039,7,"NORTHERN AMERICA",73,"Northwestern U.S.A.","ORE","Oregon",0,0,0
"325658-2","Pinaceae","Abies","amabilis","Abies amabilis","Douglas ex J.Forbes","LC",0.090712594,1.455919453,"tree",381632,"Gymnosperms",536040,7,"NORTHERN AMERICA",73,"Northwestern U.S.A.","WAS","Washington",0,0,0
"325658-2","Pinaceae","Abies","amabilis","Abies amabilis","Douglas ex J.Forbes","LC",0.090712594,1.455919453,"tree",381632,"Gymnosperms",536041,7,"NORTHERN AMERICA",76,"Southwestern U.S.A.","CAL","California",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",536042,7,"NORTHERN AMERICA",71,"Western Canada","ABT","Alberta",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",536043,7,"NORTHERN AMERICA",71,"Western Canada","MAN","Manitoba",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",536044,7,"NORTHERN AMERICA",71,"Western Canada","SAS","Saskatchewan",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",536045,7,"NORTHERN AMERICA",72,"Eastern Canada","LAB","Labrador",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",536046,7,"NORTHERN AMERICA",72,"Eastern Canada","NBR","New Brunswick",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540836,7,"NORTHERN AMERICA",72,"Eastern Canada","NFL","Newfoundland",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540837,7,"NORTHERN AMERICA",72,"Eastern Canada","NSC","Nova Scotia",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540838,7,"NORTHERN AMERICA",72,"Eastern Canada","ONT","Ontario",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540839,7,"NORTHERN AMERICA",72,"Eastern Canada","PEI","Prince Edward I.",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540840,7,"NORTHERN AMERICA",72,"Eastern Canada","QUE","Québec",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540841,7,"NORTHERN AMERICA",74,"North-Central U.S.A.","IOW","Iowa",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540842,7,"NORTHERN AMERICA",74,"North-Central U.S.A.","MIN","Minnesota",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540843,7,"NORTHERN AMERICA",74,"North-Central U.S.A.","WIS","Wisconsin",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540844,7,"NORTHERN AMERICA",75,"Northeastern U.S.A.","CNT","Connecticut",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540845,7,"NORTHERN AMERICA",75,"Northeastern U.S.A.","MAI","Maine",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540846,7,"NORTHERN AMERICA",75,"Northeastern U.S.A.","MAS","Massachusetts",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540847,7,"NORTHERN AMERICA",75,"Northeastern U.S.A.","MIC","Michigan",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540848,7,"NORTHERN AMERICA",75,"Northeastern U.S.A.","NWH","New Hampshire",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540849,7,"NORTHERN AMERICA",75,"Northeastern U.S.A.","NWJ","New Jersey",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540850,7,"NORTHERN AMERICA",75,"Northeastern U.S.A.","NWY","New York",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540851,7,"NORTHERN AMERICA",75,"Northeastern U.S.A.","PEN","Pennsylvania",0,0,0
