Taxon,Threat status,EDGE,ED,ED_rank,EDGE_rank
Amorphophallus lanuginosus,CR,46.08,52.6,3,1
Magnolia ofeliae,CR,28.81,31.4,1,2
Petenaea cordata,EN,28.84,57.32,9,3
Hondurodendron urceolatum,CR,54.94,57.32,16,4
Amorphophallus synandrifer,CR,45.59,51.86,22,5
Lyonothamnus floribundus,EN,31.66,65.32,8,6
Magnolia ovoidea,CR,29.31,34.4,11,7
Amorphophallus interruptus,CR,40.26,43.08,33,8
Melanophylla perrieri,EN,29.05,60.17,18,9
Octoknema klaineana,CR,31.44,35,19,10
Medusagyne oppositifolia,CR,46.78,53.43,5,11
Amorphophallus natolii,Threatened,34.68,74.42,17,12
Kupea martinetugei,CR,40.12,46.2,91,13
Gomortega keule,EN,38.01,78.38,20,14
Magnolia sinica,CR,42.31,49.47,25,15
Magnolia tiepii,CR,30.9,33.23,7,16
Afrothismia gesnerioides,CR,42.55,47.17,15,17
Pseudohydrosme gabunensis,EN,36.83,75.9,4,18
Kupea jonii,CR,40.15,45.89,23,19
Octoknema belingensis,CR,31.06,34.33,10,20
Pseudohydrosme buettneri,Threatened,31.46,82.17,191,21
Marthella trinitatis,CR,32.07,36.84,6,22
Amorphophallus lewallei,CR,46.89,50.86,14,23
Magnolia pleiocarpa,CR,28.97,32.95,2,24
Magnolia sanchez-vegae,CR,29.2,33.26,12,25
