Species_name	Collection_ID	Specimen_ID	Voucher_information	Specimen_URL
Aa maderoi	K	-	Taylor, P. 16346	
Aakia tuerckheimii	K	K001395002	Stevens, W.D.; Martinez, E.  25890	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001395002
Abatia rugosa	K	K001382185	Sandeman, C. 5101	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001382185
Abelia uniflora	-	-	-	
Abeliophyllum distichum	K	-	Chase, M.W. 3881	
Abelmoschus esculentus	-	-	-	
Abelmoschus moschatus	CANB	CANB 385446.1	Clarkson, J.R. 6783	
Abildgaardia triflora	GENT	-	Malaisse F. & Goetghebeur P. 400	
Abobra tenuifolia	K	-	Chase, M.W. 915	
Abrahamia ditimena	K	-	Randrianasolo 781	
Abroma augustum	K	-	Chase, M.W. 3081	
Abronia latifolia	-	-	-	
Abronia maritima	-	-	-	
Abrophyllum ornans	CNS	CNS 140059	Ford, A. 6115	
Abrotanella nivigena	CANB	CANB 771034	McAuliffe, J. 881	
Abrus precatorius	-	-	-	
Abuta rufescens	K	K001022196	Milliken, W. 2328	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001022196
Abutilon otocarpum	-	-	-	
Abutilon pannosum	K	K001275829	Lawesson, J.E. 5245	
Abutilon theophrasti	-	-	-	
Acacia argyrophylla	-	-	-	
Acacia pycnantha	-	-	-	
Acaena tenera	K	-	Chase, M.W. 18902	
Acalypha filiformis	K	-	Hoffmann, P. et al. 279	
Acalypha spiciflora	K	-	Larsen, K.; Santisuk, T.;  Warncke, E. 2342	
Acanthella sprucei	K	K001275145	Eden, M.J. CAE/MJE/125	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275145
Acanthocalycium spiniflorum	ZSS	10 0439 /0	de Vos, J.M. s.n. 	
Acanthocarpus preissii	K	-	Chase, M.W. 2228	
Acanthocereus cuixmalensis	-	-	-	
Acanthocladium dockeri	CANB	CANB 610592	SA-99011	
Acanthocladus brasiliensis	C	-	Silva & Hatschbach, G. 638	
Acantholimon lycopodioides	-	-	-	
Acantholippia seriphioides	M	-	Weigend et al. 6949	
Acanthopale sp.	K	-	Darbyshire, I., Downes, E., Gosline, G., Larridon, I., Rwaburindore, P. 1061	
Acanthophoenix rousselii	K	-	Ludwig Jul-04	
Acanthophyllum mucronatum	K	K001275731	Fayvush et al. Optima Iter XI / 2050	
Acanthopsis sp.	K	K001295731	Tripp, E.; Dexter, K. 2073	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001295731
Acanthosicyos horridus	K	-	Seydel, R. 886	
Acanthospermum hispidum	K	-	Way, M.J. SWM2446	
Acanthothamnus aphyllus	MO	-	Clevinger, C.C. 100	
Acanthus sp.	K	-	Darbyshire, I., Downes, E., Gosline, G., Larridon, I., Rwaburindore, P. 1046	
Accara elegans	K	K001178956	Hensold, N.; Oliviera, C.R.; Kawasaki, M.L. 20845	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001178956
Acer campestre	K	-	Fay 407	
Acer negundo	-	-	-	
Aceratium doggrellii	K	K001275041	Gray, B. 2344	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275041
Acharagma roseanum	K	-	RBG Kew Living Collection 1998-3217	
Acharia tragodes	K	K000370309	Phillipson, P.B. 1197	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000370309
Achatocarpus nigricans	K	K000326637	Garvizu, M.; Munoz, con M.; Arimosa, A. 1104	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000326637
Achillea distans subsp. tanacetifolia	BC	-	Douzet, R. FR-8-VII-2017-2	
Achillea maritima	K	-	RBG Kew DNA Bank 19533	
Achimenes heterophylla	K	K001306064	Rothschild, B.M. 403	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001306064
Achnatherum pekinense	-	-	-	
Achnatherum sibiricum	-	-	-	
Achnophora tatei	CBG	CBG 9516690	Jackson, I. 14	
Achyranthemum mucronatum	BC	-	Romo, A. 14511	
Achyranthes bidentata	-	-	-	
Achyrocalyx decaryi	K	K000664838	Rakotoarisoa, S.E. 323	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000664838
Achyrocline alata	QCA	-	Jaramillo, J. 20965	
Achyronychia cooperi	K	K001275524	Higgins, L.C. 27065	
Acianthera aberrans	L	-	AK7412	
Acianthera erosa	K	-	Ekman 1132	
Acianthera sp.	K	-	O.A. Pérez-Escobar OP 1936	
Acianthus fornicatus	CANB	CANB 661329	D.L.Jones 19074	
Acianthus sinclairii	K	K000859056	Colenso, W. s.n. 	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000859056
Acicarpha tribuloides	K	K001275024	Wood, J.R.I.; con Mercado, M.; Mendoza, M. 18735	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275024
Acidocroton verrucosus	K	-	Burch & Proctor, G.R. 7113	
Acidosasa purpurea	-	-	-	
Acidoton urens	K	-	Alexander, R.C. s.n. 	
Acineta mireyae	-	-	-	
Acineta sella-turcica	-	-	-	
Acioa longipendula	K	-	Sothers, C.A. 1600/1490	
Aciotis purpurascens	NY	-	Michelangeli, F. A. 2454	
Aciphylla glacialis	K	-	Melville, R. et al. 5551	
Acirostrum alaschanicum	-	-	-	
Acis tingitana	K	-	Chase, M.W. 1525	
Acisanthera hedyotoidea	NY	-	Wurdack, K. J. 4145	
Acisanthera quadrata	NY	-	Michelangeli, F. A. 826	
Ackama australiensis	K	-	P.Forster 21236	
Ackama fulva	K	-	Johns, R.J. 9435	
Ackama paniculosa	K	-	Chase, M.W. 2019	
Ackama rosifolia	K	K001275088	Bradford, J. 909	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275088
Ackama rufa	K	-	Johns, R.J. 9758	
Acleisanthes chenopodioides	-	-	-	
Acleisanthes obtusa	-	-	-	
Acmadenia kiwanensis	K	-	JEV 2405	
Acmispon junceus	K	K000556876	Hoover, R.F. 6090	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556876
Acmispon utahensis	K	K000556877	Welsh, S.L.; Atwood, N.D. 28791	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556877
Acoelorraphe wrightii	K	-	Forest 478	
Acokanthera oblongifolia	K	K001334211	Stephen; Graan 1007	
Acokanthera schimperi	K	K	P. R. O Bally 7772	
Acomis macra	CANB	CANB 816801	Thompson, E.J. MUT489	
Aconitum kusnezoffii	-	-	-	
Aconitum sp.	K	-	RBG Kew DNA Bank 81940	
Acorus calamus	-	-	-	
Acorus gramineus	K	-	Chase, M.W. 18000	
Acosmium lentiscifolium	K	-	Haroldoc C. de Lima 8125	
Acourtia microcephala	K	-	Millenium Seed Bank 377669	
Acrachne racemosa	CANB	CANB 551662	Trudgen, M.E. 12507	
Acradenia euodiiformis	K	K001275568	Forster, P.I. 14620	
Acridocarpus longifolius	K	K000648551	Simons, E.L.A.N.; Damen, T.H.J. 1126	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000648551
Acriopsis emarginata	CBG	CBG 8600522	J.M.Taylor 2470	
Acriopsis liliifolia var. auriculata	K	-	Ramos, M.; Pascasio, J. 35112	
Acritochaete volkensii	K	-	Carvalho 3699	
Acrocarpus fraxinifolius	-	-	-	
Acroceras calcicola	TAN	Unmounted	Vorontsova, M.S. 1379	
Acroceras excavatum	SI	-	Deginani, N.B. 1548	
Acroceras tonkinense	K	-	Norsangsri, M. 2478	
Acroceras zizanioides	K	-	J.M. Kimeu et al. 229	
Acrocomia aculeata	K	-	Baker, W.J. 1000	
Acrodon parvifolius	K	-	Cowell 4248	
Acrodon sp.	K	-	LD61	
Acroglochin persicarioides	MJG	-	S.M.A. Kazmi 3539	
Acronychia sp.	K	-	Chase, M.W. 313	
Acrophyllum australe	K	K001275060	Johnstone, R. 3158	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275060
Acropogon schumanniana	K	K000224817	Tronchet, F.; Munzinger, J.; Oddi, A. 400	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000224817
Acrosanthes teretifolia	K	-	RBG Kew DNA Bank 27009	
Acrospelion distichophyllum	K	K001418266	SCD 0757577	
Acrothamnus maccraei	K	K001325307	Rees, H. van 76	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001325307
Acrotrema sp.	K	-	Chase, M.W. 17398	
Acrotriche divaricata	K	K001325308	Wiecek, B.M.; Richards, P.G.; Tame, T. 498	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001325308
Actaea heracleifolia	K	-	Leon, C.J., Pearman, G., Zhang, B., Yu, J. and Zhou, Y. 160	
Actephila excelsa	K	K000187077	Ahmad, J.H.A. 16892	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000187077
Actephila grandifolia	NSW	NSW993520	G. Phillips & K. Willis 296	
Actinidia chinensis	-	-	-	
Actinidia chinensis	-	-	-	
Actinidia rubricaulis var. coriacea	K	-	Goldman, D. s.n.; 26599	
Actinobole uliginosum	BC	-	Christenhusz, M.J.M 7637	
Actinocheita filicina	K	-	Salinas 7503	
Actinocladum verticillatum	K	K000947592	Clark, L. 767	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000947592
Actinodaphne acuminata	-	-	-	
Actinodaphne nitida	MIN	-	Ezedin, Z. 76	
Actinodium cunninghamii	K	K000065803	Rodd, A.N.; McCarthy, J. 4984	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000065803
