Country,Name,Area,year_identified
BVI,Beef Island and the Channel,45,2010
BVI,Great Thatch Island,123,2010
BVI,Central Virgin Gorda,565,2010
BVI,Ginger Island,34,2012
BVI,Eastern Scrub Island,43,2012
BVI,Guana Island,345,2012
BVI,Tortola North Shore,43,2014
BVI,Anegada Island,45,2014
BVI,Norman Island,345,2014
BVI,Northeastern Jost van Dyke,435,2014
BVI,Hawks Nest,565,2014
Guinea,Bowal Tankon and Bowal Touppé Mama,5,2019
Guinea,Diéké Classified Forest,,2019
Guinea,Gbélén Forest,,2019
Guinea,Grandes Chutes Classified Forest,,2019
Guinea,Kakiwondi Forest Patch,,2019
Guinea,Kambadga Falls,,2019
Guinea,Koba sandstone bowal,,2019
Guinea,Koukoutamba waterfalls,,2019
Guinea,Kounounkan Massif and Plateau,,2019
Guinea,Mont Béro Classified Forest,,2019
Guinea,Moofanyi Inselbergs,,2019
Guinea,Moyen Bafing National Park,,2019
Guinea,Mt Gangan Sandstone Mountain Chain,,2019
Guinea,Mt Konossou,,2019
Guinea,Mt Wokou,,2019
Guinea,Nimba Mountains,,2019
Guinea,Saala waterfalls,,2019
Guinea,Simbaraya Ferralitic Bowe,,2019
Guinea,Southern Simandou Mountains,,2019
Guinea,Tassing Plateau,,2019
Guinea,Tonkoyah Inselberg Complex,,2019
Guinea,Ziama Massif,,2019
BVI,Mount Sage,34,2020
BVI,Sabbath Hill,65,2020
BVI,Eastern Virgin Gorda,767,2020
BVI,Paraquita Bay and Bar Bay,786,2020
Ethiopia,Bonga Forests,311,2021
Ethiopia,Asosa,629,2021
Ethiopia,Chilimo Forest,,2021
Ethiopia,Entoto Hills,,2021
Ethiopia,Menagesha-Suba Forest,,2021
Ethiopia,Mount Karkarha,,2021
Ethiopia,Shako-Bench Forest,,2021
Ethiopia,Wof-Washa Forest,,2021
Mozambique,Bobole,0.23,2022
Mozambique,Bazaruto Archipelago,190,2022
Mozambique,Bilene-Calanga,1366,2022
Mozambique,Catapú,,2022
Mozambique,Cheringoma Limestone Gorges,,2022
Mozambique,Chidenguele,,2022
Mozambique,Chimanimani Lowlands,,2022
Mozambique,Chimanimani Mountains,,2022
Mozambique,Eráti,,2022
Mozambique,Goa and Sena Islands,,2022
Mozambique,Goba,,2022
