Country,Name,Area,year_identified
Mozambique,Bobole,0.23,2010
Mozambique,Mount Morrumbala,135,2023
Mozambique,Bilene-Calanga,1366,2012
BVI,Great Thatch Island,123,2010
BVI,Great Tobago Island,34,2023
BVI,Guana Island,345,2012
BVI,Beef Island and the Channel,45,2010
BVI,Northern Great Camanoe,435,2023
BVI,Eastern Scrub Island,43,2012
BVI,Central Virgin Gorda,565,2010
BVI,Prickly Pear Island,786,2023
BVI,Ginger Island,34,2012
BVI,Norman Island,345,2014
BVI,Anegada Island,45,2014
BVI,Northeastern Jost van Dyke,435,2014
BVI,Tortola North Shore,43,2014
BVI,Hawks Nest,565,2014
BVI,Paraquita Bay and Bar Bay,786,2020
BVI,Mount Sage,34,2020
BVI,Sabbath Hill,65,2020
BVI,Eastern Virgin Gorda,767,2020
