Site,Code,Country,Region,"Year of Identification (=date of final draft, or reviwed Version uploaded in the database)",note,Area (km2)
Area Protegida Municipal Orqui­deas del Encanto,,BOL: Bolivia,,01/08/2022 07:03,publish,NULL
Área Protegida Municipal Orquídeas del Encanto,BOLTIPA016,BOL: Bolivia,Ñuflo deChávez [Province],,no date in database,no info in database? 
Cerro Manomo,,BOL: Bolivia,,01/08/2022 07:07,publish,NULL
Cerro Manomó,BOLTIPA007,BOL: Bolivia,José Miguel de Velasco [Province],,no date in database,no info in database? 
Cerro Mutun,,BOL: Bolivia,,01/08/2022 07:11,publish,NULL
Cerro Mutún,BOLTIPA008,BOL: Bolivia,Germán Busch [Province],,no date in database,no info in database? 
Concepcion,,BOL: Bolivia,,01/08/2022 07:14,publish,NULL
Concepción,BOLTIPA018,BOL: Bolivia,Ñuflo deChávez [Province],,no date in database,no info in database? 
ElCarmen (Sendero ecologico),,BOL: Bolivia,,01/08/2022 07:16,publish,NULL
ElCarmen (Sendero ecológico),BOLTIPA017,BOL: Bolivia,Ñuflo deChávez [Province],,no date in database,no info in database? 
JardÃin Botanico Municipal de SantaCruz de la Sierra,,BOL: Bolivia,,01/08/2022 07:19,publish,NULL
Jardín Botánico Municipal de SantaCruz de la Sierra,BOLTIPA009,BOL: Bolivia,Andrés Ibañez [Province],,no date in database,no info in database? 
LagunaConcepcion,,BOL: Bolivia,,01/08/2022 07:21,publish,0
LagunaConcepción,BOLTIPA003,BOL: Bolivia,Chiquitos [Province],,no date in database,no info in database? 
Lajas delCarmen Rivero Torrez,,BOL: Bolivia,,01/08/2022 07:24,publish,NULL
Lajas delCarmen Rivero Tórrez,BOLTIPA006,BOL: Bolivia,Germán Busch [Province],,no date in database,no info in database? 
Lomerío,BOLTIPA001,BOL: Bolivia,Ñuflo deChávez [Province],,no date in database,no info in database? 
Lomerío,,BOL: Bolivia,,01/08/2022 07:27,publish,NULL
Parque Nacional Noel Kempff Mercado,BOLTIPA011,BOL: Bolivia,José Miguel de Velasco [Province],,no date in database,no info in database? 
Parque Nacional Noel Kempff Mercado,,BOL: Bolivia,,01/08/2022 07:41,publish,NULL
Reserva Forestal Bajo Paraguá,BOLTIPA012,BOL: Bolivia,José Miguel de Velasco y Ñuflo deChávez [Province],,no date in database,no info in database? 
Reserva Forestal Bajo Paraguá,,BOL: Bolivia,,01/08/2022 07:44,publish,NULL
Reserva Privada del Patrimonio Natural Arubai,BOLTIPA015,BOL: Bolivia,Andrés Ibáñez [Province],,no date in database,no info in database? 
Reserva Privada del Patrimonio Natural Arubai,,BOL: Bolivia,,01/08/2022 07:46,publish,NULL
Reserva Ríos Blanco y Negro (Perseverancia and Oquiriquia),BOLTIPA013,BOL: Bolivia,Guarayos and Ñuflo deChávez [Province],,no date in database,no info in database? 
Reserva Ríos Blanco y Negro (Perseverancia and Oquiriquia),,BOL: Bolivia,,01/08/2022 07:49,publish,NULL
"San Matías, ANMI San Matías",BOLTIPA005,BOL: Bolivia,"Ángel Sandoval, Germán Busch,Chiquitos y Velasco [Province]",,no date in database,no info in database? 
"San Matías, ANMI San Matías",,BOL: Bolivia,,01/08/2022 07:52,publish,NULL
San Miguelito (Montana y Pascana),BOLTIPA004,BOL: Bolivia,Ñuflo deChávez [Province],,no date in database,no info in database? 
SantaCruz La Vieja y bloque norte de San José deChiquitos,BOLTIPA014,BOL: Bolivia,Chiquitos [Province],,no date in database,no info in database? 
SantaCruz La Vieja y bloque norte de San José deChiquitos,,BOL: Bolivia,,01/08/2022 15:00,publish,NULL
Serranía de Ipias-Abayoy,BOLTIPA010,BOL: Bolivia,Chiquitos [Province],,no date in database,no info in database? 
Serranía de Ipias-Abayoy,,BOL: Bolivia,,01/08/2022 15:07,publish,NULL
Serranía deChiquitos,BOLTIPA002,BOL: Bolivia,Chiquitos [Province],,no date in database,no info in database? 
Serranía deChiquitos,,BOL: Bolivia,,01/08/2022 15:04,publish,NULL
Valles Secos de Río Abajo La Paz-Luribay,BOLTIPA019,BOL: Bolivia,Loayza [Province],,no date in database,no info in database? 
Anegada Island,BVITIPA001,BVI: British Virgin Islands,Anegada [Province],2019,Final Workshop ,
Anegada Island,,BVI: British Virgin Islands,,24/05/2021 10:25,publish,38
Beef Island and theChannel,BVITIPA002,BVI: British Virgin Islands,Beef Island [Province],2019,Final Workshop ,
Beef Island and theChannel,,BVI: British Virgin Islands,,24/05/2021 10:26,publish,4.1
Central Virgin Gorda,BVITIPA003,BVI: British Virgin Islands,Virgin Gorda [Province],2019,Final Workshop ,
Central Virgin Gorda,,BVI: British Virgin Islands,,24/05/2021 10:27,publish,7.8
Eastern Scrub Island,BVITIPA004,BVI: British Virgin Islands,Scrub Island [Province],2019,Final Workshop ,
Eastern Scrub Island,,BVI: British Virgin Islands,,24/05/2021 10:28,publish,0.72
Eastern Virgin Gorda,BVITIPA006,BVI: British Virgin Islands,Virgin Gorda [Province],2019,Final Workshop ,
Eastern Virgin Gorda,,BVI: British Virgin Islands,,24/05/2021 10:29,publish,2.67
Ginger Island,BVITIPA005,BVI: British Virgin Islands,Ginger [Province],2019,Final Workshop ,
Ginger Island,,BVI: British Virgin Islands,,24/05/2021 10:30,publish,0.99
Great Thatch Island,BVITIPA007,BVI: British Virgin Islands,Great Thatch [Province],2019,Final Workshop ,
Great Thatch Island,,BVI: British Virgin Islands,,24/05/2021 10:30,publish,1.14
Great Tobago Island,BVITIPA008,BVI: British Virgin Islands,Great Tobago [Province],2019,Final Workshop ,
Great Tobago Island,,BVI: British Virgin Islands,,24/05/2021 10:31,publish,0.95
Guana Island,BVITIPA009,BVI: British Virgin Islands,Guana [Province],2019,Final Workshop ,
Guana Island,,BVI: British Virgin Islands,,24/05/2021 10:32,publish,2.93
Hawks Nest,BVITIPA010,BVI: British Virgin Islands,Tortola [Province],2019,Final Workshop ,
Hawks Nest,,BVI: British Virgin Islands,,24/05/2021 10:33,publish,0.37
Mount Sage,BVITIPA011,BVI: British Virgin Islands,Tortola [Province],2019,Final Workshop ,
Mount Sage,,BVI: British Virgin Islands,,24/05/2021 10:34,publish,2.99
Norman Island,BVITIPA012,BVI: British Virgin Islands,Norman [Province],2019,Final Workshop ,
Norman Island,,BVI: British Virgin Islands,,24/05/2021 10:35,publish,2.45
Northeastern Jost Van Dyke,BVITIPA013,BVI: British Virgin Islands,Jost Van Dyke [Province],2019,Final Workshop ,
Northeastern Jost Van Dyke,,BVI: British Virgin Islands,,24/05/2021 10:36,publish,1.58
Northern GreatCamanoe,BVITIPA014,BVI: British Virgin Islands,GreatCamanoe [Province],2019,Final Workshop ,
Northern GreatCamanoe,,BVI: British Virgin Islands,,24/05/2021 10:36,publish,2.1
Paraquita Bay and Bar Bay,BVITIPA015,BVI: British Virgin Islands,Tortola [Province],2019,Final Workshop ,
Paraquita Bay and Bar Bay,,BVI: British Virgin Islands,,24/05/2021 10:40,publish,0.43
Prickly Pear Island,BVITIPA016,BVI: British Virgin Islands,Prickly Pear [Province],2019,Final Workshop ,
Prickly Pear Island,,BVI: British Virgin Islands,,24/05/2021 10:40,publish,0.72
Sabbath Hill,BVITIPA017,BVI: British Virgin Islands,Tortola [Province],2019,Final Workshop ,
Sabbath Hill,,BVI: British Virgin Islands,,24/05/2021 10:41,publish,0.66
Tortola North Shore,BVITIPA018,BVI: British Virgin Islands,Tortola [Province],2019,Final Workshop ,
Tortola North Shore,,BVI: British Virgin Islands,,24/05/2021 10:42,publish,2.31
FMU 09-025,x,CAM:Cameroon,South [Region],2023,Publication year,?
Akoakas Rock,CAM052,CMN:Cameroon,South [Region],2023,Publication year,?
Akoakas Rock,,CMN:Cameroon,,15/07/2022 10:51,publish,NULL
Akokndoué hill,CMNTIPA011,CMN:Cameroon,Centre [Region],2023,Publication year,1.6
Bakossi National Park,CMNTIPA027,CMN:Cameroon,Southwest [Region],2023,Publication year,293.2
Bakossi National Park,,CMN:Cameroon,,18/07/2022 08:38,publish,293.2
Bali Ngemba Forest,CMNTIPA004,CMN:Cameroon,Northwest [Region],2023,Publication year,20
Banyang Mbo Wildlife Sanctuary,CMNTIPA030,CMN:Cameroon,Southwest [Region],2023,Publication year,666
Banyang Mbo Wildlife Sanctuary,,CMN:Cameroon,,18/07/2022 08:47,publish,666
Bimbia BonadikomboCommunity Forest,CMNTIPA024,CMN:Cameroon,Southwest [Region],2023,Publication year,37.35
Bimbia BonadikomboCommunity Forest,,CMN:Cameroon,,18/07/2022 08:50,publish,37.35
Campo Ma'an National Park,CMNTIPA025,CMN:Cameroon,South [Region],2023,Publication year,2640.6
Campo Ma'an National Park,,CMN:Cameroon,,18/07/2022 08:54,publish,2640.6
Colline Nkol Tsia,x,CMN:Cameroon,South [Region],2023,Publication year,?
Colline Nkol Tsia,,CMN:Cameroon,,23/01/2025 15:50,publish,NULL
Dja Faunal reserve,CMNTIPA038,CMN:Cameroon,East and South [Region],2023,Publication year,6278
Dja Faunal reserve,,CMN:Cameroon,,18/07/2022 08:57,publish,6278
DomCommunity Forest,CMNTIPA006,CMN:Cameroon,Northwest [Region],2023,Publication year,4.5
DomCommunity Forest,,CMN:Cameroon,,18/07/2022 09:01,publish,4.5
Douala-Edea,CMNTIPA048,CMN:Cameroon,Littoral [Region],2023,Publication year,
Eastern MountCameroon,CMNTIPA041,CMN:Cameroon,Southwest [Region],2023,Publication year,178
Ebo Forest,CMNTIPA003,CMN:Cameroon,Littoral [Region],2023,Publication year,1423
Ebo Forest,,CMN:Cameroon,,14/12/2021 18:13,publish,1423
Edea Falls,CMNTIPA052,CMN:Cameroon,Littoral [Region],2023,Publication year,?
Idenau-BatokeCoastal forest,CMNTIPA042,CMN:Cameroon,Southwest [Region],2023,Publication year,114
Kom-Wum Forest Reserve,CMNTIPA020,CMN:Cameroon,Northwest [Region],2023,Publication year,117
Kom-Wum Forest Reserve,,CMN:Cameroon,,18/07/2022 09:26,publish,117
Korup National Park,CMNTIPA035,CMN:Cameroon,Southwest [Region],2023,Publication year,1873
Korup National Park,,CMN:Cameroon,,18/07/2022 09:29,publish,1873
Lake Barombi Mbo Forest Reserve,CMNTIPA032,CMN:Cameroon,Southwest [Region],2023,Publication year,9.26
Lake Barombi Mbo Forest Reserve,,CMN:Cameroon,,18/07/2022 09:33,publish,9.26
Lobe Falls,,CMN:Cameroon,,18/07/2022 09:36,publish,3.3
Lobé Falls,CMNTIPA016,CMN:Cameroon,South [Region],2023,Publication year,3.3
Lobéké National Park,CMNTIPA049,CMN:Cameroon,East [Region],2023,Publication year,2164
Lobéké National Park,,CMN:Cameroon,,18/07/2022 09:39,publish,2164
Massif des Mamelles,CMNTIPA026,CMN:Cameroon,South [Region],2023,Publication year,93
Massif des Mamelles,,CMN:Cameroon,,18/07/2022 09:42,publish,93
Mbam Minkom Hills,CMNTIPA008,CMN:Cameroon,Centre [Region],2023,Publication year,86
Mbam Minkom Hills,,CMN:Cameroon,,18/07/2022 09:44,publish,86
MbiCrater Lake,CMNTIPA017,CMN:Cameroon,Northwest [Region],2023,Publication year,5
MbiCrater Lake,,CMN:Cameroon,,18/07/2022 09:48,publish,32.5
Mbokdoum hill,CMNTIPA014,CMN:Cameroon,Centre [Region],2023,Publication year,?
Mbokdoum hill,,CMN:Cameroon,,18/12/2024 10:55,publish,6.7
Mefou Proposed National Park,CMNTIPA005,CMN:Cameroon,Centre [Region],2023,Publication year,11
Mefou Proposed National Park,,CMN:Cameroon,,18/07/2022 09:55,publish,11
Memv'ele Falls,CMNTIPA015,CMN:Cameroon,South [Region],2023,Publication year,30
Mokoko-Onge,CMMTIPA040,CMN:Cameroon,Southwest [Region],2023,Publication year,395
Mokoko-Onge,,CMN:Cameroon,,18/07/2022 14:22,publish,395
Mont Mbankolo,CMNTIPA023,CMN:Cameroon,Centre [Region],2023,Publication year,6.7
Mont Mbankolo,,CMN:Cameroon,,18/07/2022 14:25,publish,1.25
Mount Bamboutos,CMNTIPA021,CMN:Cameroon,West [Region],2023,Publication year,340
Mount Bamboutos,,CMN:Cameroon,,21/07/2022 10:03,publish,340
