Taxon,Threat status,EDGE,ED,EDGE_rank,ED_rank
Wollemia nobilis,CR,4.91,139.59,1,3
Ginkgo biloba,EN,4.89,315,2,1
Araucaria angustifolia,CR,4.18,67.71,3,16
Agathis australis,NE,4.14,64.76,4,18
Acmopyle sahniana,CR,4.02,57.56,5,26
Pherosphaera fitzgeraldii,CR,3.91,51.44,6,35
Glyptostrobus pensilis,CR,3.53,35.17,7,53
Microcycas calocoma,CR,3.4,30.82,8,66
Araucaria araucana,EN,3.35,67.71,9,17
Cephalotaxus alpina,NE,3.26,26.95,10,80
Cunninghamia konishii,EN,3.09,52.12,11,32
Metasequoia glyptostroboides,EN,3.07,51.26,12,37
Torreya taxifolia,CR,3.04,21.63,13,126
Agathis montana,CR,3.02,21.09,14,131
Sequoia sempervirens,EN,3,47.81,15,42
Sequoiadendron giganteum,EN,3,47.81,16,43
Taxus floridana,CR,2.97,20.2,17,143
Prumnopitys standleyi,EN,2.97,46.23,18,45
Araucaria nemorosa,CR,2.88,18.29,19,159
Taxus florinii,NE,2.87,18.15,20,161
Taxus calcicola,NE,2.84,17.72,21,165
Retrophyllum piresii,DD,2.7,15.32,22,191
Cedrus atlantica,EN,2.61,32.46,23,63
Picea austropanlanica,NE,2.58,13.66,24,202
Picea koyamae,CR,2.53,12.89,25,211
Cephalotaxus hainanensis,EN,2.52,29.72,26,70
Gnetum ridleyi,DD,2.52,12.8,27,215
Cycas hongheensis,CR,2.48,12.3,28,223
Gnetum latispicum,NE,2.45,11.97,29,231
Pseudotsuga japonica,EN,2.43,26.98,30,78
Gnetum giganteum,DD,2.39,11.22,31,250
Gnetum arboreum,DD,2.38,11.14,32,252
Gnetum interruptum,NE,2.37,11.01,33,255
Torreya jackii,EN,2.36,25.19,34,90
Gnetum loerzingii,DD,2.35,10.83,35,260
Araucaria muelleri,EN,2.34,24.67,36,92
Podocarpus decumbens,CR,2.33,10.6,37,264
Dioon stevensonii,NE,2.33,10.55,38,265
Gnetum gracilipes,DD,2.32,10.54,39,267
Widdringtonia whytei,CR,2.28,10.11,40,286
Gnetum catasphaericum,DD,2.28,10.09,41,287
Agathis kinabaluensis,EN,2.27,22.96,42,103
Falcatifolium angustum,EN,2.24,22.33,43,113
Agathis orbicula,EN,2.23,22.14,44,115
Agathis borneensis,EN,2.22,22.02,45,116
Dacrydium guillauminii,CR,2.21,9.44,46,324
Amentotaxus assamica,EN,2.21,21.72,47,120
Amentotaxus hatuyenensis,EN,2.21,21.69,48,121
Araucaria humboldtensis,EN,2.21,21.68,49,123
Pinus squamata,CR,2.19,9.17,50,333
Agathis ovata,EN,2.18,21.09,51,132
Araucaria scopulorum,EN,2.18,20.99,52,134
Agathis macrophylla,EN,2.17,20.95,53,135
Dioon spinulosum,EN,2.17,20.94,54,137
Taxus wallichiana,EN,2.16,20.58,55,138
Araucaria rulei,EN,2.15,20.42,56,140
Taxus chinensis,EN,2.14,20.26,57,142
Taxus globosa,EN,2.14,20.2,58,144
Podocarpus tixieri,NE,2.13,8.68,59,361
Podocarpus thevetiifolius,NE,2.12,8.6,60,365
Podocarpus urbanii,CR,2.12,8.55,61,370
Podocarpus idenburgensis,NE,2.1,8.41,62,378
Zamia hymenophyllidia,CR,2.1,8.41,63,379
Taxus contorta,EN,2.09,19.24,64,148
Cycas chamaoensis,CR,2.08,8.25,65,384
Widdringtonia wallichii,CR,2.07,8.21,66,387
Araucaria luxurians,EN,2.07,18.93,67,152
