Group,Family,Genus,Species,DNA Amount
Angiosperms,Rubiaceae,Catunaregam,spinosa,0.35
Angiosperms,Rubiaceae,Phyllis,nobla,0.37
Angiosperms,Rubiaceae,Coffea,sessiliflora,0.4
Angiosperms,Rubiaceae,Coffea,racemosa,0.5
Angiosperms,Rubiaceae,Coffea,mauritiana,0.48
Angiosperms,Rubiaceae,Coffea,humblotiana,0.49
Angiosperms,Rubiaceae,Coffea,boiviniana,0.5
Angiosperms,Rubiaceae,Galium,anisophyllon,0.51
Angiosperms,Rubiaceae,Galium,tinctorium,0.51
Angiosperms,Rubiaceae,Coffea,vatovavyensis,0.52
Angiosperms,Rubiaceae,Serissa,serissoides,0.5
Angiosperms,Rubiaceae,Coffea,bonnieri,0.53
Angiosperms,Rubiaceae,Coffea,tsirananae,0.53
Angiosperms,Rubiaceae,Coffea,myrtifolia,0.54
Angiosperms,Rubiaceae,Coffea,tetragona,0.54
Angiosperms,Rubiaceae,Coffea,mcphersonii,0.54
Angiosperms,Rubiaceae,Coffea,pocsii,0.54
Angiosperms,Rubiaceae,Coffea,mogenetti,0.55
Angiosperms,Rubiaceae,Galopina,circaeoides,0.6
Angiosperms,Rubiaceae,Coffea,arenesiana,0.56
Angiosperms,Rubiaceae,Coffea,pervilleana,0.56
Angiosperms,Rubiaceae,Coffea,pseudozanguebariae,0.57
Angiosperms,Rubiaceae,Coffea,jumellei,0.57
Angiosperms,Rubiaceae,Phyllis,viscosa,0.6
Angiosperms,Rubiaceae,Psilanthus,ebracteolatus,0.6
Angiosperms,Rubiaceae,Coffea,costatifructa,0.58
Angiosperms,Rubiaceae,Coffea,sakarahae,0.58
Angiosperms,Rubiaceae,Coffea,mangoroensis,0.58
Angiosperms,Rubiaceae,Coffea,ratsimamangae,0.58
Angiosperms,Rubiaceae,Coffea,sahafaryensis,0.58
Angiosperms,Rubiaceae,Coffea,ankaranensis,0.59
Angiosperms,Rubiaceae,Coffea,macrocarpa,0.59
Angiosperms,Rubiaceae,Coffea,augagneuri,0.59
Angiosperms,Rubiaceae,Coffea,montis-sacri,0.6
Angiosperms,Rubiaceae,Vangueriopsis,lanciflora,0.6
Angiosperms,Rubiaceae,Cephalanthus,occidentalis,0.6
Angiosperms,Rubiaceae,Coffea,dubardii,0.6
Angiosperms,Rubiaceae,Coffea,homollei,0.61
Angiosperms,Rubiaceae,Coffea,bertrandii,0.61
Angiosperms,Rubiaceae,Morinda,pubescens,0.62
Angiosperms,Rubiaceae,Coffea,bernardiniana,0.62
Angiosperms,Rubiaceae,Coffea,leroyi,0.62
Angiosperms,Rubiaceae,Coffea,kianjavatensis,0.62
Angiosperms,Rubiaceae,Coffea,vianneyi,0.62
Angiosperms,Rubiaceae,Putoria,calabrica,0.6
Angiosperms,Rubiaceae,Coffea,abbayesii,0.63
Angiosperms,Rubiaceae,Coffea,heimii,0.63
Angiosperms,Rubiaceae,Coffea,lancifolia,0.63
Angiosperms,Rubiaceae,Coffea,betamponensis,0.63
Angiosperms,Rubiaceae,Coffea,coursiana,0.63
Angiosperms,Rubiaceae,Coffea,resinosa,0.64
Angiosperms,Rubiaceae,Coffea,perrieri,0.64
Angiosperms,Rubiaceae,Coffea,richardii,0.64
