family,genus,group,SRLI_2024_analysis,WCVP_status,WCVP_accepted_name,WCVP_current_id,RL_2000,RL_2010,RL_2020,RL_2000_10yr,RL_2010_10yr,RL_2020_10yr,RL_2000_20yr,RL_2010_20yr,RL_2020_20yr,RL_2000_30yr,RL_2010_30yr,RL_2020_30yr,Status_change,stats_change_A
Fabaceae,Abarema,Legumes,include,Accepted,Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes,1020872-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,Non_genuine_2010-2020,Non_genuine_2010-2020
Fabaceae,Jupunba,Legumes,include,Homotypic_Synonym,"Jupunba curvicarpa (H.S.Irwin) M.V.B.Soares, M.P.Morim & Iganci",77218552-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Abrus,Legumes,include,Accepted,Abrus fruticulosus Wall. ex Wight & Arn.,469592-1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,No_change,No_change
Fabaceae,Abrus,Legumes,exclude,Heterotypic_Synonym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Acacia,Legumes,include,Accepted,Acacia aemula Maslin,991279-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Vachellia,Legumes,include,Accepted,Vachellia allenii (D.H.Janzen) Seigler & Ebinger,60441187-2,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,Non_genuine_2010-2020,Non_genuine_2010-2020
Fabaceae,Acacia,Legumes,include,Accepted,Acacia alpina F.Muell.,469682-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Senegalia,Legumes,include,Accepted,Senegalia amazonica (Benth.) Seigler & Ebinger,60445196-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia aneura F.Muell. ex Benth.,469715-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Senegalia,Legumes,include,Accepted,Senegalia ankokib (Chiov.) Kyal. & Boatwr.,77130758-1,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia aphylla Maslin,469732-1,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia aprica Maslin & A.R.Chapm.,1008312-1,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia argyraea Tindale,469747-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia asepala Maslin,1008232-1,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia ataxiphylla Benth.,469774-1,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia auratiflora R.S.Cowan & Maslin,1008287-1,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia auriculiformis A.Cunn. ex Benth.,469784-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia ausfeldii Regel,469790-1,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia basedowii Maiden,469813-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Vachellia,Legumes,include,Accepted,Vachellia belairioides (Urb.) Seigler & Ebinger,60441192-2,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia betchei Maiden & Blakely,469831-1,LC,LC,LC,LC,LC,LC,LC,NT,LC,LC,NT,NT,No_change,Genuine_2000-2010
Fabaceae,Acacia,Legumes,include,Accepted,Acacia bifaria Maslin,991277-1,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia brachypoda Maslin,939610-1,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,No_change,No_change
Fabaceae,Vachellia,Legumes,include,Accepted,Vachellia bussei (Harms ex Y.Sjöstedt) Kyal. & Boatwr.,77131695-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Senegalia,Legumes,include,Homotypic_Synonym,"Senegalia caesia (L.) Maslin, Seigler & Ebinger",77132504-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia castanostegia Maslin,1008238-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia chrysotricha Tindale,469986-1,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia confluens Maiden & Blakely,470038-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia crassiuscula H.L.Wendl.,470076-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Acacia,Legumes,include,Accepted,Acacia cyperophylla F.Muell. ex Benth.,470116-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Senegalia,Legumes,include,Accepted,"Senegalia delavayi (Franch.) Maslin, Seigler & Ebinger",77132506-1,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Fabaceae,Acacia,Legumes,include,Accepted,Acacia dempsteri F.Muell.,470149-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Senegalia,Legumes,include,Accepted,"Senegalia donaldi (Haines) Ragup., Seigler, Ebinger & Maslin",77138709-1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,No_change,No_change
