group,metric,data,Table,Map,Chart,Card_1,Card_2,Card_3,Download,Responsible owner,Users
EDGE,EDGE gymnosperms,G:\Users\sb42kg\kew_metrics\01_data\EDGE_gymno,Adjusted table,Density sp per TDWG,,Phylo years?,Top EDGE species,,yes - link to paper,Felix,
EDGE,EDGE angiosperms,,,Density sp per TDWG,,Phylo years?,Top EDGE species,,,Felix,
EDGE index,EDGE gymno_index,,,,,,,,,Felix,
Red List Index,sampled monocots,,,Density sp per TDWG,RLI trend,% threatened,,,,Steve,
Red List Index,sampled legumes,,,Density sp per TDWG,RLI trend,% threatened,,,,Steve,
Species Habitat Index,sampled monocots,,,Average decline per [endemic] species?,,,,,,Steve,
Species Habitat Index,sampled legumes,,,Average decline per [endemic] species?,,,,,,Steve,
Species Habitat Index,Ethiopia,,,,,,,,,Moabe,
TIPAS,Global area and # sites,,,,,,,,,Iain Darbyshire,
New species,New species per reporting year,,,Count of new species per tdwg,new species per year,by family?,,,links to POWO? Web?,Matin Cheek,
paftol,Coverage per ,,,,,,,,,,
Hort? ,,,,,,,,,,Tom Freeth,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,385689,all plants COL,,,,
,,,,,,"354,000",vascualr plants POWO Jan 2025,,,,
,,,,,,345230,angiosperms,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,0.190718429,73558,red list ALL plants assessed,,,,
,,,,,0.206596045,73135,vascular plants assessed (monocots + dicots + gymno + ferns),,,,
,,,,,0.20639284,71253,angiosperms (monocots + dicots),,,,
